,1,2,3,4,Average
col_1_25.png,14509.0,14659.5,22078.0,22521.5,18442.0
trp2_1_100.png,30264.0,35903.0,41946.0,47342.5,38863.875
trp2_1_25.png,13592.5,16246.0,17344.5,18658.5,16460.375
myb-like-840_2_100.png,42376.0,49889.0,52416.0,65111.5,52448.125
camta-1_1_25.png,17667.5,18309.0,18333.0,25366.5,19919.0
myb-like-840_2_25.png,15405.0,19105.0,21150.0,24295.5,19988.875
camta-1_2_100.png,6788.5,33870.0,34811.5,76839.5,38077.375
trp2_2_100.png,32316.5,36171.0,41219.0,52121.5,40457.0
trp2_1_50.png,24911.0,30251.5,33517.5,38433.0,31778.25
myb-like-840_1_100.png,40928.5,42635.0,44308.0,49725.5,44399.25
goa_2_25.png,9589.5,12272.0,18044.5,20971.0,15219.25
col_1_50.png,26328.0,35168.5,36569.0,46870.0,36233.875
myb-like-840_2_50.png,23162.0,23311.0,31057.0,31717.5,27311.875
camta-1_1_100.png,27265.5,38022.0,39825.0,44407.0,37379.875
camta-1_2_25.png,15150.5,18790.0,21082.5,22443.5,19366.625
goa_2_100.png,6513.5,12155.5,12264.0,12496.5,10857.375
myb-like-840_1_25.png,17908.5,20040.0,22228.0,25660.0,21459.125
wrky-29_1_50.png,24983.5,26922.5,29899.0,35036.0,29210.25
col-0_1_100.png,7795.5,27529.5,44063.0,67143.0,36632.75
col_2_25.png,15898.0,18165.5,18220.5,25563.5,19461.875
goa_1_50.png,7116.5,18482.5,20960.5,26531.0,18272.625
wrky-29_1_100.png,31821.5,36692.5,38670.0,42781.5,37491.375
myb-like-840_1_50.png,27270.0,30131.5,40728.5,44725.0,35713.75
goa_1_100.png,8907.0,10594.0,13818.5,22160.0,13869.875
wrky_1_50.png,28879.0,32152.5,38060.5,38252.5,34336.125
goa_1_25.png,11205.0,13973.5,15478.5,16106.5,14190.875
col-0_2_100.png,34978.5,48289.0,48969.5,50074.5,45577.875
